id,image_url,thumb_url,category,color,stone,finish,surrounding,caption,tags,headstone
IMG0001,https://lumargo.pl/wp-content/uploads/2023/02/IMG_50851-768x1024-1.jpg,,blaty,czarny,granite,polerowany,Ujęcie przedstawia nowoczesną łazienkę z eleganckim blatem.,"Elegancki czarny blat granitowy, idealny do nowoczesnych wnętrz.","blaty granitowe, nowoczesny design, polerowany kamień",nan
IMG0002,https://lumargo.pl/wp-content/uploads/2023/02/IMG_0230-1920x1440.jpeg,,blaty,"czarny, biały",marmur,polerowany,Wnętrze nowoczesnej kuchni z marmurowymi blatami.,"Eleganckie blaty marmurowe, które dodają stylu każdemu wnętrzu.","blaty marmurowe, nowoczesny design, kuchnia, wykończenie, stylowe wnętrze",nan
IMG0003,https://lumargo.pl/wp-content/uploads/2023/02/IMG_0227-1920x1440.jpeg,,blaty,"czarny, biały",granit,polerowany,Zdjęcie przedstawia nowoczesną kuchnię z blatem kamiennym.,"Elegancki blat kamienny, idealny do nowoczesnych wnętrz.","blaty kamienne, nowoczesny design, granitowy blat, kuchnia, wykończenie",nan
IMG0004,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5358-1024x768-1.jpg,,blaty,czarny,granite,polished,Blat kuchenny w nowoczesnym wnętrzu.,"Elegancki czarny granit, idealny do nowoczesnych kuchni.","blat granitowy, nowoczesny design, wykończenie polerowane",nan
IMG0005,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5355-1024x768-1-rotated.jpg,,blaty,"czarny, biały",nan,nan,Nowoczesna kuchnia z eleganckim blatem.,"Stylowy blat, który odmieni Twoją kuchnię.","nowoczesny design, elegancki blat, kuchnia, stylowe wnętrze",nan
IMG0006,https://lumargo.pl/wp-content/uploads/2023/02/IMG_4155-1920x1440.jpg,,blaty,"beżowy, brązowy",granite,polerowany,Zdjęcie przedstawia blat kuchenny w nowoczesnym wnętrzu.,"Elegancki blat granitowy, idealny do każdej kuchni.","blat kuchenny, granite, nowoczesny, polerowany, design",nan
IMG0007,https://lumargo.pl/wp-content/uploads/2023/02/IMG_3438-1920x1440.jpg,,blaty,szary,nan,matowy,Blat kuchenny w nowoczesnym wnętrzu.,"Elegancki szary blat, idealny do nowoczesnych kuchni.","blat kuchenny, nowoczesny design, matowe wykończenie, szary kolor",nan
IMG0008,https://lumargo.pl/wp-content/uploads/2023/02/IMG_3434-2-1920x1440.jpg,,blaty,szary,nan,nan,Zdjęcie przedstawia nowoczesną kuchnię z wyspą.,"Elegancka wyspa kuchenna, idealna do nowoczesnych wnętrz.","nowoczesna kuchnia, wyspa kuchenna, design wnętrz, szary kolor, styl minimalistyczny",nan
IMG0009,https://lumargo.pl/wp-content/uploads/2023/02/IMG_3239-1024x768-1.jpg,,blaty,czarny,granite,polerowany,Blat umieszczony w nowoczesnej łazience z eleganckimi akcentami.,"Elegancki czarny blat granitowy, idealny do nowoczesnych wnętrz.","blat granitowy, nowoczesny design, polerowane wykończenie",nan
IMG0010,https://lumargo.pl/wp-content/uploads/2023/02/FB_IMG_1424029137124.jpg,,blaty,czarny,granite,polerowany,Nowoczesna kuchnia z czarnym blatem granitowym.,"Elegancki czarny blat granitowy, idealny do nowoczesnych wnętrz.","blaty granitowe, nowoczesny design, kuchnia, wykończenie, elegancja",nan
